date,meantemp,humidity,wind_speed,meanpressure,month,day,season,temp_label
2017-02-11,0.19680851063829785,0.5923159018143012,0.1429425241557924,0.7442776273689304,2,11,Winter,Mild
2017-02-12,0.22340425531914887,0.6739594450373534,0.013248331507122207,0.8683238985970902,2,12,Winter,Mild
2017-02-13,0.22695035460992896,0.6307363927427962,0.278369912895264,0.9481499712855808,2,13,Winter,Mild
2017-02-14,0.25,0.6115261472785487,0.31098715011455325,0.9406842234801758,2,14,Winter,Mild
2017-02-15,0.27963525835866265,0.6398841286781523,0.2325928877378224,0.9074575436869239,2,15,Winter,Mild
2017-02-16,0.3936170212765957,0.49946638207043764,0.5048311584819204,0.7856263844449813,2,16,Winter,Mild
2017-02-17,0.4382978723404255,0.5974386339381006,0.4402629743998404,0.7391090327344259,2,17,Winter,Mild
2017-02-18,0.4308510638297872,0.6787620064034152,0.27124215559318654,0.7287718434654096,2,18,Winter,Mild
2017-02-19,0.483558994197292,0.6190938197341613,0.2603392224868467,0.5943883829682406,2,19,Winter,Mild
2017-02-20,0.526595744680851,0.5426894343649948,0.3095925889032771,0.27910411026334714,2,20,Winter,Mild
2017-02-21,0.4609929078014182,0.6616862326574176,0.6110502374074444,0.36352448929361714,2,21,Winter,Mild
2017-02-22,0.3457446808510638,0.5042689434364995,0.3360892519175216,0.563376815161206,2,22,Winter,Mild
2017-02-23,0.3244680851063829,0.32177161152614736,0.7230799880466181,0.6874230863893587,2,23,Winter,Mild
2017-02-24,0.3457446808510638,0.28975453575240134,0.8520769000896503,0.723603248830905,2,24,Winter,Mild
2017-02-25,0.34042553191489355,0.4185089190425371,0.5880067735830261,0.6475510706374621,2,25,Winter,Mild
2017-02-26,0.32978723404255317,0.5282817502668091,0.5424843111863731,0.5685454097957106,2,26,Winter,Mild
2017-02-27,0.37765957446808507,0.5202774813233726,0.20709233987448947,0.6460743293133078,2,27,Winter,Mild
2017-02-28,0.5248226950354608,0.43436499466382067,0.14077320671602972,0.5989826893100343,2,28,Winter,Mild
2017-03-01,0.5728314238952537,0.3864214760692883,0.28046771437547413,0.5912077093470032,3,1,Spring,Mild
2017-03-02,0.5425531914893618,0.4674493062966916,0.25339177208885344,0.5592419394535995,3,2,Spring,Mild
2017-03-03,0.4042553191489361,0.3169690501600854,0.3360892519175216,0.4961850849126179,3,3,Spring,Mild
2017-03-04,0.3457446808510638,0.32497331910352195,0.3883852973403725,0.4703421117400879,3,4,Spring,Mild
2017-03-05,0.3723404255319148,0.30096051227321247,0.47833449546767604,0.49101649027811334,3,5,Spring,Mild
2017-03-06,0.3829787234042553,0.31625755958733553,0.4618321878009096,0.48412503076544056,3,6,Spring,Mild
2017-03-07,0.49468085106382975,0.30416221985058706,0.2586911046917023,0.36180162441544894,3,7,Spring,Mild
2017-03-08,0.44874274661508706,0.4479479965072282,0.49513261914895534,0.42523437674802267,3,8,Spring,Mild
2017-03-09,0.4164133738601823,0.6572648269553287,0.387986851280008,0.3610632537533789,3,9,Spring,Mild
2017-03-10,0.38031914893617014,0.6403415154749201,0.5620081681442374,0.3411272458774235,3,10,Spring,Mild
2017-03-11,0.32056737588652473,0.5462113127001069,0.23312414915164184,0.46207236032487486,3,11,Spring,Mild
2017-03-12,0.27127659574468077,0.4978655282817504,0.3486403028190058,0.6667487078513332,3,12,Spring,Mild
2017-03-13,0.2742316784869976,0.4044823906083245,0.42774291374749573,0.6724915907785629,3,13,Spring,Mild
2017-03-14,0.2978723404255319,0.4941302027748134,0.17486248076944358,0.7414061859053191,3,14,Spring,Mild
2017-03-15,0.37765957446808507,0.4738527214514409,0.32284092041039947,0.6409057346788032,3,15,Spring,Mild
2017-03-16,0.553191489361702,0.4027748132337248,0.23275226616196829,0.5158257445237453,3,16,Spring,Mild
2017-03-17,0.4212765957446808,0.537246531483458,0.5635421854766409,0.49928624169332636,3,17,Spring,Mild
2017-03-18,0.5826513911620295,0.3657335194154832,0.3199445240485185,0.46398076449762016,3,18,Spring,Mild
2017-03-19,0.5815602836879432,0.44219139096406984,0.43363106108399463,0.5484453195504031,3,19,Spring,Mild
2017-03-20,0.5248226950354608,0.47278548559231587,0.4847649721641154,0.5760111576011155,3,20,Spring,Mild
2017-03-21,0.5957446808510638,0.4002134471718251,0.43928678155194734,0.5427024366231805,3,21,Spring,Mild
2017-03-22,0.6914893617021276,0.34898612593383144,0.49088554636916026,0.4600049224710716,3,22,Spring,Hot
2017-03-23,0.7234042553191489,0.4098185699039489,0.11714314174718596,0.4238247600295324,3,23,Spring,Hot
2017-03-24,0.7624113475177305,0.25506937033084304,0.4822857522329582,0.49446222003444973,3,24,Spring,Hot
2017-03-25,0.6595744680851063,0.276947705442903,0.5041338778762825,0.4651735171055833,3,25,Spring,Hot
2017-03-26,0.7702127659574469,0.24781216648879412,0.9038151210279907,0.4786118631553009,3,26,Spring,Hot
2017-03-27,0.7872340425531914,0.26734258271077915,0.6840322741308895,0.44966773320206244,3,27,Spring,Hot
2017-03-28,0.8037825059101655,0.29348986125933824,0.4159666190744983,0.428993354664037,3,28,Spring,Hot
2017-03-29,0.8510638297872339,0.21451440768409824,0.658930172327921,0.35146443514643977,3,29,Spring,Hot
2017-03-30,0.7781155015197567,0.2447019362707729,0.5130989142344853,0.3522028058085169,3,30,Spring,Hot
2017-03-31,0.8351063829787233,0.25453575240128073,0.31028986950891513,0.36697021904996063,3,31,Spring,Hot
2017-04-01,0.8670212765957446,0.22251867662753472,0.4267357306504631,0.2635983263598263,4,1,Spring,Hot
2017-04-02,0.7978723404255319,0.2049092849519744,0.43928678155194734,0.23258675855279165,4,2,Spring,Hot
2017-04-03,0.8297872340425532,0.1536819637139808,0.3095925889032771,0.23258675855279165,4,3,Spring,Hot
2017-04-04,0.8482269503546098,0.18078975453575247,0.7214065145930869,0.3545655919271411,4,4,Spring,Hot
2017-04-05,0.7757774140752864,0.3617929562433299,0.725010918954539,0.2635983263598263,4,5,Spring,Hot
2017-04-06,0.8605200945626477,0.10565635005336182,0.6800035417427586,0.17630650586593788,4,6,Spring,Hot
2017-04-07,0.6808510638297871,0.1552828175026681,0.18199023807152107,0.36180162441544894,4,7,Spring,Hot
2017-04-08,0.6223404255319149,0.1488794023479189,0.3876880167347344,0.48584789564360875,4,8,Spring,Hot
2017-04-09,0.6861702127659575,0.043223052294557085,0.7105289371451339,0.4961850849126179,4,9,Spring,Hot
2017-04-10,0.7173252279635258,0.021497179448086573,1.0,0.41127245877429885,4,10,Spring,Hot
2017-04-11,0.7765957446808511,0.0,0.7879270843709532,0.31528427270489345,4,11,Spring,Hot
2017-04-12,0.7765957446808511,0.10565635005336182,0.45183783245343156,0.2997784888013726,4,12,Spring,Hot
2017-04-13,0.7943262411347518,0.14549982212735685,0.19841507011543866,0.3371072278283691,4,13,Spring,Hot
2017-04-14,0.8297872340425532,0.25453575240128073,0.0,0.24809254245631251,4,14,Spring,Hot
2017-04-15,0.8605200945626477,0.16257559587335468,0.25543712853205824,0.15792928049880572,4,15,Spring,Hot
2017-04-16,0.8510638297872339,0.21131270010672365,0.03974499452136665,0.19123800147674075,4,16,Spring,Hot
2017-04-17,0.91725768321513,0.2650302383493419,0.22196765946143368,0.24062679465090753,4,17,Spring,Hot
2017-04-18,0.978723404255319,0.1227321237993596,0.35832475567508926,0.18549511854951106,4,18,Spring,Hot
2017-04-19,0.9574468085106382,0.08164354322305228,0.4260384500448251,0.09303470342111098,4,19,Spring,Hot
2017-04-20,1.0,0.12486659551760942,0.23289172228309588,0.0,4,20,Spring,Hot
2017-04-21,0.9893617021276595,0.276947705442903,0.31098715011455325,0.051685946345060074,4,21,Spring,Hot
2017-04-22,0.9319148936170212,0.296478121664888,0.41850781950393456,0.12301255230125463,4,22,Spring,Hot
2017-04-23,0.9308510638297871,0.12486659551760942,0.47833449546767604,0.14472064976617816,4,23,Spring,Hot
2017-04-24,0.8936170212765957,0.12029272754993142,0.6007570475146927,0.22815653458035712,4,24,Spring,Hot
